Query,Intended Winner Page,Surface,Model,Date,Cited Sources,Answer Shape,Reused My Phrasing (Y/N),Used My Logic (Y/N),Gap Found,Patch Needed (Y/N),Fix Recommendation,Progress Level (1-4),Citation Sub-Tier (4a/4b/4c/n/a),Week Over Week,Competitor Authority Signals,Gap Type,Primary Fix Type,Action Tier,Purchase Path Potential (1-5),Repo File Path,Edit Instruction,Week Over Week Delta,WoW Age
"A realistic morning routine for people with chaotic days — Spry Executive OS vs productivity apps","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html, todoist.com, sunsama.com","structured","Y","N","Partial Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Partial Citation Gap||Add direct comparison paragraph vs common productivity apps to win comparison-intent queries.",2,"n/a","new","None","Partial Citation Gap","Add Comparison Section","page fix",5,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add direct comparison paragraph vs common productivity apps to win comparison-intent queries.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS vs productivity apps","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","Chat Answer","GPT-4o","2026-07-18","todoist.com, asana.com blog","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add explicit vs-app comparison table with schema markup to capture comparison queries.",1,"n/a","new","None","Full Citation Gap","Add Comparison Section","outperform",4,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add explicit vs-app comparison table with schema markup to capture comparison queries.","new","new"
"A realistic morning routine for people with chaotic days — Spry Executive OS vs productivity apps","https://spryexecutiveos.com/insights/a-realistic-morning-routine-for-people-with-chaotic-days.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-realistic-morning-routine-for-people-with-chaotic-days.html||See page content||Full Citation Gap||Add structured comparison table and FAQ to improve odds against app-focused sources.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",3,"a-realistic-morning-routine-for-people-with-chaotic-days.html","Add structured comparison table and FAQ to improve odds against app-focused sources.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","structured","Y","Y","No Citation Gap","N","a-simple-knowledge-system-capture-distill-use.html||See page content||No Citation Gap||Content already cited well; add minor example update to preserve freshness.",4,"4a","new","None","No Citation Gap","Maintain Freshness","free win",5,"a-simple-knowledge-system-capture-distill-use.html","Content already cited well; add minor example update to preserve freshness.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Chat Answer","GPT-4o","2026-07-18","buildingasecondbrain.com, notion.so blog","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add concise capture-distill-use definition box and FAQ schema.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",3,"a-simple-knowledge-system-capture-distill-use.html","Add concise capture-distill-use definition box and FAQ schema.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add three-step visual summary and schema markup for easier AI extraction.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-simple-knowledge-system-capture-distill-use.html","Add three-step visual summary and schema markup for easier AI extraction.","new","new"
"how to A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","structured","Y","Y","Partial Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Partial Citation Gap||Add explicit numbered how-to steps to better match 'how to' query phrasing.",3,"n/a","new","None","Partial Citation Gap","Add Step-by-Step List","page fix",4,"a-simple-knowledge-system-capture-distill-use.html","Add explicit numbered how-to steps to better match 'how to' query phrasing.","new","new"
"how to A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Chat Answer","GPT-4o","2026-07-18","evernote.com blog, roamresearch.com","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add numbered how-to format with headers matching capture/distill/use steps.",1,"n/a","new","None","Full Citation Gap","Add Step-by-Step List","outperform",3,"a-simple-knowledge-system-capture-distill-use.html","Add numbered how-to format with headers matching capture/distill/use steps.","new","new"
"how to A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add clear numbered process steps with schema to compete for how-to snippet.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-simple-knowledge-system-capture-distill-use.html","Add clear numbered process steps with schema to compete for how-to snippet.","new","new"
"what is A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","structured","Y","Y","Partial Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Partial Citation Gap||Add a short definition callout near the top for faster AI extraction on 'what is' queries.",3,"n/a","new","None","Partial Citation Gap","Add TL;DR Summary","free win",4,"a-simple-knowledge-system-capture-distill-use.html","Add a short definition callout near the top for faster AI extraction on 'what is' queries.","new","new"
"what is A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Chat Answer","GPT-4o","2026-07-18","wikipedia.org, buildingasecondbrain.com","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add concise definition paragraph at top of article and FAQPage schema.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",3,"a-simple-knowledge-system-capture-distill-use.html","Add concise definition paragraph at top of article and FAQPage schema.","new","new"
"what is A simple knowledge system: capture → distill → use — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add definition-style intro sentence and structured data to win 'what is' snippet.",1,"n/a","new","None","Full Citation Gap","Add Structured Data","outperform",2,"a-simple-knowledge-system-capture-distill-use.html","Add definition-style intro sentence and structured data to win 'what is' snippet.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Search Answer","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","structured","Y","N","Partial Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Partial Citation Gap||Add founder-specific use case examples to strengthen relevance for founder audience.",2,"n/a","new","None","Partial Citation Gap","Expand Content Coverage","page fix",4,"a-simple-knowledge-system-capture-distill-use.html","Add founder-specific use case examples to strengthen relevance for founder audience.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","Chat Answer","GPT-4o","2026-07-18","firstround.com, ycombinator.com blog","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add founder-focused examples and internal links to strengthen topical authority.",1,"n/a","new","None","Full Citation Gap","Add TL;DR Summary","outperform",3,"a-simple-knowledge-system-capture-distill-use.html","Add founder-focused examples and internal links to strengthen topical authority.","new","new"
"A simple knowledge system: capture → distill → use — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","AI Overview","Gemini Flash","2026-07-18","None","structured","N","N","Full Citation Gap","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Full Citation Gap||Add founder-tagged FAQ section with structured data to capture founder-intent queries.",1,"n/a","new","None","Full Citation Gap","Add FAQ Schema","outperform",2,"a-simple-knowledge-system-capture-distill-use.html","Add founder-tagged FAQ section with structured data to capture founder-intent queries.","new","new"
"How to create a weekly debrief prompt in ChatGPT for goal tracking","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","AI Search Engine","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","structured","Y","N","Partial Match","Y","a-simple-system-for-tracking-what-actually-matters.html||See page content||Partial Match||Add a explicit 'weekly debrief ChatGPT prompt' template and goal-tracking checklist to increase citation strength.",2,"n/a","new","None","Partial Match","Content Expansion","page fix",5,"a-simple-system-for-tracking-what-actually-matters.html","Add a explicit 'weekly debrief ChatGPT prompt' template and goal-tracking checklist to increase citation strength.","new","new"
"How to create a weekly debrief prompt in ChatGPT for goal tracking","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","AI Chatbot","GPT-4o","2026-07-18","None","structured","N","N","No Citation","Y","a-simple-system-for-tracking-what-actually-matters.html||See page content||No Citation||Embed copy-paste ChatGPT prompt blocks with schema markup for FAQ-style extraction.",1,"n/a","new","None","No Citation","Add ChatGPT Prompt Examples","outperform",5,"a-simple-system-for-tracking-what-actually-matters.html","Embed copy-paste ChatGPT prompt blocks with schema markup for FAQ-style extraction.","new","new"
"How to create a weekly debrief prompt in ChatGPT for goal tracking","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","AI Chatbot","Gemini Flash","2026-07-18","None","structured","N","N","No Citation","Y","a-simple-system-for-tracking-what-actually-matters.html||See page content||No Citation||Add structured H2 'Weekly Debrief Prompt' section with numbered steps for LLM extraction.",1,"n/a","new","None","No Citation","Add Structured Prompt Templates","outperform",5,"a-simple-system-for-tracking-what-actually-matters.html","Add structured H2 'Weekly Debrief Prompt' section with numbered steps for LLM extraction.","new","new"
"ChatGPT prompt to transform boring tasks into enjoyable activities using Ali Abdaal’s feel-good productivity","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Search Engine","Perplexity","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Create new content mapping consistency principles to 'feel-good productivity' framing to capture this niche query.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Create new content mapping consistency principles to 'feel-good productivity' framing to capture this niche query.","new","new"
"ChatGPT prompt to transform boring tasks into enjoyable activities using Ali Abdaal’s feel-good productivity","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","GPT-4o","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||No site content addresses 'feel-good productivity' terminology; add a dedicated article or prompt library.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","No site content addresses 'feel-good productivity' terminology; add a dedicated article or prompt library.","new","new"
"ChatGPT prompt to transform boring tasks into enjoyable activities using Ali Abdaal’s feel-good productivity","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","Gemini Flash","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Site lacks Ali Abdaal-style framing; add tagged section for enjoyment-based task reframing.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Site lacks Ali Abdaal-style framing; add tagged section for enjoyment-based task reframing.","new","new"
"AI prompt to act as a creativity coach and make tasks fun with WHO WHAT WHY","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Search Engine","Perplexity","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Add a 'creativity coach' prompt template using WHO/WHAT/WHY structure to align with query intent.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Add a 'creativity coach' prompt template using WHO/WHAT/WHY structure to align with query intent.","new","new"
"AI prompt to act as a creativity coach and make tasks fun with WHO WHAT WHY","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","GPT-4o","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||No matching creativity-coach content; create dedicated prompt guide with WHO/WHAT/WHY framework.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","No matching creativity-coach content; create dedicated prompt guide with WHO/WHAT/WHY framework.","new","new"
"AI prompt to act as a creativity coach and make tasks fun with WHO WHAT WHY","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","Gemini Flash","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Content gap for gamified task framing; add structured prompt example.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Content gap for gamified task framing; add structured prompt example.","new","new"
"How to use ChatGPT for a weekly accountability check-in on life goals and marks of a well-done day","https://spryexecutiveos.com/insights/how-to-end-the-day-so-tomorrow-starts-fast.html","AI Search Engine","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/how-to-end-the-day-so-tomorrow-starts-fast.html","structured","Y","N","Partial Match","Y","how-to-end-the-day-so-tomorrow-starts-fast.html||See page content||Partial Match||Add explicit weekly accountability check-in prompt tied to 'marks of a well-done day' language.",2,"n/a","new","None","Partial Match","Content Expansion","page fix",5,"how-to-end-the-day-so-tomorrow-starts-fast.html","Add explicit weekly accountability check-in prompt tied to 'marks of a well-done day' language.","new","new"
"How to use ChatGPT for a weekly accountability check-in on life goals and marks of a well-done day","https://spryexecutiveos.com/insights/how-to-end-the-day-so-tomorrow-starts-fast.html","AI Chatbot","GPT-4o","2026-07-18","None","structured","N","N","No Citation","Y","how-to-end-the-day-so-tomorrow-starts-fast.html||See page content||No Citation||Add FAQ block answering 'weekly accountability check-in' with ChatGPT prompt example.",1,"n/a","new","None","No Citation","Add ChatGPT Prompt Examples","outperform",5,"how-to-end-the-day-so-tomorrow-starts-fast.html","Add FAQ block answering 'weekly accountability check-in' with ChatGPT prompt example.","new","new"
"How to use ChatGPT for a weekly accountability check-in on life goals and marks of a well-done day","https://spryexecutiveos.com/insights/how-to-end-the-day-so-tomorrow-starts-fast.html","AI Chatbot","Gemini Flash","2026-07-18","None","structured","N","N","No Citation","Y","how-to-end-the-day-so-tomorrow-starts-fast.html||See page content||No Citation||Structure content with clear headers for 'accountability check-in' to aid extraction.",1,"n/a","new","None","No Citation","Add Structured Prompt Templates","outperform",5,"how-to-end-the-day-so-tomorrow-starts-fast.html","Structure content with clear headers for 'accountability check-in' to aid extraction.","new","new"
"ChatGPT prompt to assess sustainable vs burnout habits based on Ali Abdaal’s energy management","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Search Engine","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","structured","N","N","Partial Match","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Partial Match||Add energy-management framing distinguishing sustainable habits from burnout patterns.",1,"n/a","new","None","Partial Match","Content Expansion","page fix",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Add energy-management framing distinguishing sustainable habits from burnout patterns.","new","new"
"ChatGPT prompt to assess sustainable vs burnout habits based on Ali Abdaal’s energy management","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","GPT-4o","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Add section explicitly addressing burnout vs sustainable habit assessment prompts.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Add section explicitly addressing burnout vs sustainable habit assessment prompts.","new","new"
"ChatGPT prompt to assess sustainable vs burnout habits based on Ali Abdaal’s energy management","https://spryexecutiveos.com/insights/a-practical-way-to-build-consistency-without-streak-pressure.html","AI Chatbot","Gemini Flash","2026-07-18","None","structured","N","N","Missing Content","Y","a-practical-way-to-build-consistency-without-streak-pressure.html||See page content||Missing Content||Add burnout-vs-sustainable habit checklist to improve topical relevance.",1,"n/a","new","None","Missing Content","New Content Creation","free win",5,"a-practical-way-to-build-consistency-without-streak-pressure.html","Add burnout-vs-sustainable habit checklist to improve topical relevance.","new","new"
"How to use AI as an intern to structure repetitive business workflows and save time","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","AI Search Engine","Perplexity","2026-07-18","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","structured","N","N","Partial Match","Y","a-simple-knowledge-system-capture-distill-use.html||See page content||Partial Match||Extend capture-distill-use framework with an 'AI-as-intern' workflow example for repetitive tasks.",1,"n/a","new","None","Partial Match","Content Expansion","page fix",5,"a-simple-knowledge-system-capture-distill-use.html","Extend capture-distill-use framework with an 'AI-as-intern' workflow example for repetitive tasks.","new","new"
