"Query","Intended Winner Page","Surface","Model","Date","Cited Sources","Answer Shape","Reused My Phrasing (Y/N)","Used My Logic (Y/N)","Gap Found","Patch Needed (Y/N)","Fix Recommendation","Progress Level (1-4)","Citation Sub-Tier (4a/4b/4c/n/a)","Week Over Week","Competitor Authority Signals","Gap Type","Primary Fix Type","Action Tier","Purchase Path Potential (1-5)","Repo File Path","Edit Instruction","Week Over Week Delta","WoW Age"
"how to A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://spryexecutiveos.com/site/public/pillars/execution/, https://zyncro.in/blog/reduce-meeting-chaos","Step-by-step implementation of the Spry Meeting Filter rule","Y","Y","None - Spry domain cited","N","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Winning on Perplexity||None||None","4","4a","new","no incumbent","no incumbent","Structure","free win","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None","new","n/a"
"how to A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Implementation steps for eliminating recurring meeting overhead","Y","Y","Recalls implementation steps","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Winning||None||None","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None","new","n/a"
"what is A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://spryexecutiveos.com/site/public/pillars/execution/","Definition and 3 core criteria of the Spry Meeting Rule","Y","Y","None","N","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Winning||None||None","4","4a","new","no incumbent","no incumbent","Structure","free win","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None","new","n/a"
"what is A simple meeting rule that prevents calendar chaos — Spry Executive OS","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Definition of executive calendar defense rule","Y","Y","Recalls concept","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Winning||None||None","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","None","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://zyncro.in/blog/reduce-meeting-chaos, https://www.calendar.com/blog/ways-ceos-defend-calendar-whitespace/","CEO whitespace defense rules and async-first decision memos","N","N","Competitor focuses explicitly on founder maker vs manager schedule bifurcation","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Page presents a general 3-condition filter without founder-specific maker/manager context||Calendar.com and Zyncro address founder-specific calendar fragmentation (investors vs team vs maker time)||Add an H3 'Founder Schedule Protection' under H2 '3) Set the rules' with a rule: zero internal meetings before 1:00 PM to protect morning maker blocks","1","n/a","new","weak incumbent","weak incumbent","Completeness","page fix","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add an H3 'Founder Schedule Protection' under H2 '3) Set the rules' with a rule: zero internal meetings before 1:00 PM to protect morning maker blocks","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS for founders","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Founder-focused calendar defense and meeting minimization","Y","Y","Applies rule to founder context","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||General rule||Founder focus||Add founder focus","2","n/a","new","no incumbent","no incumbent","Clarity","free win","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add founder focus","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://zyncro.in/blog/reduce-meeting-chaos, https://natureled.club/protected-time-os-rules-meeting-caps-that-work/","AI scheduling intake bots and automated agenda screening","N","N","Competitors detail AI prompts to draft async updates before booking meetings","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Page covers manual rules but lacks AI prompt template for meeting gatekeeping||Competitors provide copy-paste AI intake prompt to convert proposed meeting topics into async briefs||Insert a 'Meeting-to-Async AI Prompt' code block under H2 'Short Answer' that generates a 3-bullet decision memo before accepting an invite","1","n/a","new","weak incumbent","weak incumbent","Structure","page fix","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Insert a 'Meeting-to-Async AI Prompt' code block under H2 'Short Answer' that generates a 3-bullet decision memo before accepting an invite","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS with AI","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Using AI to summarize agendas and draft async updates","Y","Y","Describes AI meeting filtering","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Manual rules only||AI prompt missing||Add AI prompt","2","n/a","new","no incumbent","no incumbent","Structure","free win","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add AI prompt","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://zyncro.in/blog/reduce-meeting-chaos, https://natureled.club/protected-time-os-rules-meeting-caps-that-work/","Daily planning workflow with hard meeting cap limits (max 2 per day)","N","N","Competitors recommend daily meeting cap quotas (e.g. max 2 meetings per day)","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Page explains meeting criteria but does not provide a daily meeting cap quota||Competitors specify strict quantitative daily meeting caps (max 90 minutes total)||Add a quantitative rule in H2 '1) Define the output': Maximum 2 external meetings per day or 90 minutes total meeting load","1","n/a","new","weak incumbent","weak incumbent","Clarity","page fix","4","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add a quantitative rule in H2 '1) Define the output': Maximum 2 external meetings per day or 90 minutes total meeting load","new","n/a"
"A simple meeting rule that prevents calendar chaos — Spry Executive OS for daily planning","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Daily planning integration with calendar defense","Y","Y","Connects daily planning with calendar rules","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Conceptual||Quantitative cap||Add quantitative cap","2","n/a","new","no incumbent","no incumbent","Clarity","free win","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add quantitative cap","new","n/a"
"how to use chatgpt as a daily accountability partner for founders","https://billionairehighperformancecoach.com/chatgpt-accountability-partner.html","billionairehighperformancecoach.com","Perplexity Sonar","2026-08-22","https://billionairehighperformancecoach.com/chatgpt-accountability-partner, https://www.accountablo.com/blog/chatgpt-accountability-partner, https://medium.com/@corben-dalles/accountabilitygpt-getting-chatgpt-to-start-conversations-with-you-e0a1a31c3f44","Direct citation of billionairehighperformancecoach.com highlighting strengths, fatal memory flaws, and system architecture","Y","Y","None - direct citation win on brand domain","N","chatgpt-accountability-partner.html||Page wins citation by exposing the ChatGPT memory gap and offering structured coach prompts||None||None - winning citation","4","4a","new","no incumbent","no incumbent","Structure","free win","5","chatgpt-accountability-partner.html","None - winning citation","new","n/a"
"how to use chatgpt as a daily accountability partner for founders","https://billionairehighperformancecoach.com/chatgpt-accountability-partner.html","billionairehighperformancecoach.com","gpt-4o","2026-08-22","None","Founder accountability prompt stack and daily check-in routine","Y","Y","Produces strong prompt stack for daily founder check-in","Y","chatgpt-accountability-partner.html||Winning on Perplexity||None||None","2","n/a","new","no incumbent","no incumbent","Clarity","free win","4","chatgpt-accountability-partner.html","None","new","n/a"
"tiago forte second brain workflow for executive decision making","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://fortelabs.com/blog/basboverview, https://fortelabs.com/blog/introducing-the-ai-second-brain/","CODE framework (Capture, Organize, Distill, Express) applied to executive decisions","N","N","Tiago Forte's definitive guide dominates with full methodology and visual diagrams","Y","insights/a-simple-knowledge-system-capture-distill-use.html||Page uses Capture-Distill-Use but doesn't contrast directly with Tiago's CODE framework||Executive decision makers look for specific contrast between personal note-taking (CODE) and executive operating speed||Add a comparison callout 'CODE vs Executive OS' under H2 'The Capture-Distill-Use Knowledge Framework' explaining why executives compress Organize and Express into real-time decision logs","1","n/a","new","strong incumbent","strong incumbent","Completeness","authority required","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add a comparison callout 'CODE vs Executive OS' under H2 'The Capture-Distill-Use Knowledge Framework' explaining why executives compress Organize and Express into real-time decision logs","new","n/a"
"tiago forte second brain workflow for executive decision making","https://spryexecutiveos.com/insights/a-simple-knowledge-system-capture-distill-use.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Executive adaptation of CODE framework","Y","Y","Explains CODE for executives","Y","insights/a-simple-knowledge-system-capture-distill-use.html||No direct CODE comparison||Executive contrast||Add executive contrast","2","n/a","new","no incumbent","no incumbent","Clarity","free win","4","insights/a-simple-knowledge-system-capture-distill-use.html","Add executive contrast","new","n/a"
"ali abdaal energy investment portfolio framework vs daily task lists","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://aliabdaal.com/newsletter/the-energy-investment-portfolio/, https://aliabdaal.com/newsletter/the-energy-ledger/","Active investments vs backlog columns and energy ledger review","N","N","Ali Abdaal's official newsletter dominates with 3-column portfolio template (Active, Backlog, Bucket List)","Y","insights/a-simple-system-for-tracking-what-actually-matters.html||Page outlines metrics tracking without energy allocation categories||Ali Abdaal provides direct Notion/Google Doc template layout for Active vs Backlog energy allocation||Add an 'Energy vs Output Matrix' table under H2 '1) Define the output' comparing traditional task lists vs 3-tier energy allocation","1","n/a","new","strong incumbent","strong incumbent","Structure","authority required","4","insights/a-simple-system-for-tracking-what-actually-matters.html","Add an 'Energy vs Output Matrix' table under H2 '1) Define the output' comparing traditional task lists vs 3-tier energy allocation","new","n/a"
"ali abdaal energy investment portfolio framework vs daily task lists","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Comparison between energy investment portfolio and linear task lists","Y","Y","Recalls EIP framework","Y","insights/a-simple-system-for-tracking-what-actually-matters.html||Metrics tracking page||Energy matrix||Add energy matrix","2","n/a","new","no incumbent","no incumbent","Structure","free win","3","insights/a-simple-system-for-tracking-what-actually-matters.html","Add energy matrix","new","n/a"
"any tips or advice to increase productivity at work","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://aliabdaal.com/productivity/10-productivity-tips-for-creators/, https://natureled.club/protected-time-os-rules-meeting-caps-that-work/","Top 10 productivity lessons: energy investment portfolio, time audits, async communication","N","N","Broad generic query dominated by high-authority blogs with numbered listicles","Y","insights/a-simple-system-for-tracking-what-actually-matters.html||Page focuses deeply on tracking what matters rather than broad workplace productivity tips||Needs a quick-start 5-step productivity checklist above the fold to capture broad search intent||Add a '5-Minute Executive Productivity Checklist' callout box directly below H1","1","n/a","new","strong incumbent","strong incumbent","Structure","authority required","3","insights/a-simple-system-for-tracking-what-actually-matters.html","Add a '5-Minute Executive Productivity Checklist' callout box directly below H1","new","n/a"
"any tips or advice to increase productivity at work","https://spryexecutiveos.com/insights/a-simple-system-for-tracking-what-actually-matters.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","General productivity tips: time blocking, prioritization, eliminating distractions","N","N","Generic response","Y","insights/a-simple-system-for-tracking-what-actually-matters.html||Deep page||Broad checklist||Add broad checklist","1","n/a","new","no incumbent","no incumbent","Structure","free win","2","insights/a-simple-system-for-tracking-what-actually-matters.html","Add broad checklist","new","n/a"
"whats the best goal-setting book youve ever read","https://spryexecutiveos.com/insights/framework-for-choosing-what-to-quit.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://readingraphics.com/book-summary-building-a-second-brain/, https://reluxeleaders.com/blog/building-a-second-brain-review/","Book recommendations: Atomic Habits, Measure What Matters, The 12 Week Year, Building a Second Brain","N","N","Reddit book recommendations dominate with structured summaries and key takeaways","Y","insights/framework-for-choosing-what-to-quit.html||Page teaches quitting framework without referencing canonical goal-setting books||Competitors cite Annie Duke's 'Quit' and Peter Drucker's systematic abandonment||Add a 'Canonical Reading List' section under H2 'Related Frameworks' citing Annie Duke (Quit) and McKeown (Essentialism) with 1-sentence takeaways","1","n/a","new","medium incumbent","medium incumbent","Completeness","outperform","3","insights/framework-for-choosing-what-to-quit.html","Add a 'Canonical Reading List' section under H2 'Related Frameworks' citing Annie Duke (Quit) and McKeown (Essentialism) with 1-sentence takeaways","new","n/a"
"whats the best goal-setting book youve ever read","https://spryexecutiveos.com/insights/framework-for-choosing-what-to-quit.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Recommends Atomic Habits, Measure What Matters, The 4DX","N","N","Standard book list","Y","insights/framework-for-choosing-what-to-quit.html||No book refs||Book list||Add book list","1","n/a","new","no incumbent","no incumbent","Completeness","free win","2","insights/framework-for-choosing-what-to-quit.html","Add book list","new","n/a"
"tips for improving communication","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","Perplexity Sonar","2026-08-22","https://zyncro.in/blog/reduce-meeting-chaos, https://natureled.club/protected-time-os-rules-meeting-caps-that-work/","Communication frameworks: async-first memos, meeting audits, clarity filters","N","N","Competitors provide 3-tier communication hierarchy (Sync vs Async vs Documentation)","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Page discusses meetings but not general async written communication standards||Lacks a 3-tier communication channel decision tree (When to use Slack vs Loom vs Meeting)||Add an 'Async vs Sync Communication Matrix' table directly under H2 '2) Design the inputs' defining channel choice by urgency and complexity","1","n/a","new","weak incumbent","weak incumbent","Structure","page fix","3","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add an 'Async vs Sync Communication Matrix' table directly under H2 '2) Design the inputs' defining channel choice by urgency and complexity","new","n/a"
"tips for improving communication","https://spryexecutiveos.com/insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","spryexecutiveos.com","gpt-4o","2026-08-22","None","Active listening, clear structured writing, concise speaking","N","N","General tips","Y","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html||Meeting page||Communication matrix||Add communication matrix","1","n/a","new","no incumbent","no incumbent","Structure","free win","2","insights/a-simple-meeting-rule-that-prevents-calendar-chaos.html","Add communication matrix","new","n/a"
